movie_id,title,genres,crew,actor_1,actor_2,actor_3,tags
19995,avatar,"Action, Adventure, Fantasy, ScienceFiction",JamesCameron,SamWorthington,ZoeSaldana,SigourneyWeaver,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following order and protecting an alien civilization. Action Adventure Fantasy ScienceFiction cultureclash future spacewar spacecolony society spacetravel futuristic romance space alien tribe alienplanet cgi marine soldier battle loveaffair antiwar powerrelations mindandsoul 3d SamWorthington ZoeSaldana SigourneyWeaver JamesCameron"
285,pirates of the caribbean: at world's end,"Adventure, Fantasy, Action",GoreVerbinski,JohnnyDepp,OrlandoBloom,KeiraKnightley,"Captain Barbossa, long believed to be dead, ha come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite a it seems. Adventure Fantasy Action ocean drugabuse exoticisland eastindiatradingcompany loveofone'slife traitor shipwreck strongwoman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger JohnnyDepp OrlandoBloom KeiraKnightley GoreVerbinski"
206647,spectre,"Action, Adventure, Crime",SamMendes,DanielCraig,ChristophWaltz,LéaSeydoux,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battle political force to keep the secret service alive, Bond peel back the layer of deceit to reveal the terrible truth behind SPECTRE. Action Adventure Crime spy basedonnovel secretagent sequel mi6 britishsecretservice unitedkingdom DanielCraig ChristophWaltz LéaSeydoux SamMendes"
49026,the dark knight rises,"Action, Crime, Drama, Thriller",ChristopherNolan,ChristianBale,MichaelCaine,GaryOldman,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crime to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight year later, Batman encounter the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that ha branded him an enemy. Action Crime Drama Thriller dccomics crimefighter terrorist secretidentity burglar hostagedrama timebomb gothamcity vigilante cover-up superhero villainess tragichero terrorism destruction catwoman catburglar imax flood criminalunderworld batman ChristianBale MichaelCaine GaryOldman ChristopherNolan"
49529,john carter,"Action, Adventure, ScienceFiction",AndrewStanton,TaylorKitsch,LynnCollins,SamanthaMorton,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and it people rest in his hands. Action Adventure ScienceFiction basedonnovel mar medallion spacetravel princess alien steampunk martian escape edgarriceburroughs alienrace superhumanstrength marscivilization swordandplanet 19thcentury 3d TaylorKitsch LynnCollins SamanthaMorton AndrewStanton"
559,spider-man 3,"Fantasy, Action, Adventure",SamRaimi,TobeyMaguire,KirstenDunst,JamesFranco,"The seemingly invincible Spider-Man go up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpower are altered by an alien organism, his alter ego, Peter Parker, deal with nemesis Eddie Brock and also get caught up in a love triangle. Fantasy Action Adventure dualidentity amnesia sandstorm loveofone'slife forgiveness spider wretch deathofafriend egomania sand narcism hostility marvelcomic sequel superhero revenge TobeyMaguire KirstenDunst JamesFranco SamRaimi"
38757,tangled,"Animation, Family",ByronHoward NathanGreno,ZacharyLevi,MandyMoore,DonnaMurphy,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hide out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 foot of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strike a deal with the handsome thief and the unlikely duo set off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs. Animation Family hostage magic horse fairytale musical princess animation tower blondewoman selfishness healingpower basedonfairytale duringcreditsstinger healinggift animalsidekick ZacharyLevi MandyMoore DonnaMurphy ByronHoward NathanGreno"
99861,avengers: age of ultron,"Action, Adventure, ScienceFiction",JossWhedon,RobertDowneyJr.,ChrisHemsworth,MarkRuffalo,"When Tony Stark try to jumpstart a dormant peacekeeping program, thing go awry and Earth’s Mightiest Heroes are put to the ultimate test a the fate of the planet hang in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliance and unexpected action pave the way for an epic and unique global adventure. Action Adventure ScienceFiction marvelcomic sequel superhero basedoncomicbook vision superheroteam duringcreditsstinger marvelcinematicuniverse 3d RobertDowneyJr. ChrisHemsworth MarkRuffalo JossWhedon"
767,harry potter and the half-blood prince,"Adventure, Fantasy, Family",DavidYates,DanielRadcliffe,RupertGrint,EmmaWatson,"As Harry begin his sixth year at Hogwarts, he discovers an old book marked a 'Property of the Half-Blood Prince', and begin to learn more about Lord Voldemort's dark past. Adventure Fantasy Family witch magic broom schoolofwitchcraft wizardry apparition teenagecrush werewolf DanielRadcliffe RupertGrint EmmaWatson DavidYates"
209112,batman v superman: dawn of justice,"Action, Adventure, Fantasy",ZackSnyder,BenAffleck,HenryCavill,GalGadot,"Fearing the action of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante take on Metropolis’s most revered, modern-day savior, while the world wrestle with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before. Action Adventure Fantasy dccomics vigilante superhero basedoncomicbook revenge superpower clarkkent brucewayne dcextendeduniverse BenAffleck HenryCavill GalGadot ZackSnyder"
