title,vote_count,vote_average,popularity,genre
Deadpool,10995,7.4,514.569956,Action
Guardians of the Galaxy,9742,7.9,481.098624,Action
Mad Max: Fury Road,9427,7.2,434.278564,Action
Jurassic World,8662,6.5,418.708552,Action
Pirates of the Caribbean: The Curse of the Black Pearl,6985,7.5,271.972889,Action
Dawn of the Planet of the Apes,4410,7.3,243.791743,Action
Big Hero 6,6135,7.8,203.73459,Action
Terminator Genisys,3631,5.8,202.042635,Action
Captain America: Civil War,7241,7.1,198.372395,Action
The Dark Knight,12002,8.2,187.322927,Action
