title,vote_count,vote_average,popularity,genre
Forrest Gump,7927,8.2,138.133331,Romance
Twilight,3561,5.8,127.084938,Romance
Maleficent,4496,7.0,110.620647,Romance
The Twilight Saga: Eclipse,2301,5.8,107.069763,Romance
Cinderella,2374,6.7,101.187052,Romance
Titanic,7562,7.5,100.025899,Romance
The Twilight Saga: Breaking Dawn - Part 2,2553,6.1,99.687084,Romance
Fifty Shades of Grey,3254,5.2,98.755657,Romance
The Twilight Saga: New Moon,2436,5.6,94.815867,Romance
Aladdin,3416,7.4,92.982009,Romance
