title,vote_count,vote_average,popularity,genre
Interstellar,10867,8.1,724.247784,Science Fiction
Guardians of the Galaxy,9742,7.9,481.098624,Science Fiction
Mad Max: Fury Road,9427,7.2,434.278564,Science Fiction
Jurassic World,8662,6.5,418.708552,Science Fiction
Dawn of the Planet of the Apes,4410,7.3,243.791743,Science Fiction
The Hunger Games: Mockingjay - Part 1,5584,6.6,206.227151,Science Fiction
Terminator Genisys,3631,5.8,202.042635,Science Fiction
Captain America: Civil War,7241,7.1,198.372395,Science Fiction
The Martian,7268,7.6,167.93287,Science Fiction
Inception,13752,8.1,167.58371,Science Fiction
