title,vote_count,vote_average,popularity,genres
Stiff Upper Lips,1,10.0,0.356495,['Comedy']
Me You and Five Bucks,2,10.0,0.094105,"['Romance', 'Comedy', 'Drama']"
"Dancer, Texas Pop. 81",1,10.0,0.376662,"['Comedy', 'Drama', 'Family']"
Little Big Top,1,10.0,0.0921,['Comedy']
Sardaarji,2,9.5,0.296981,[]
One Man's Hero,2,9.3,0.910529,"['Western', 'Action', 'Drama', 'History']"
There Goes My Baby,2,8.5,0.037073,"['Drama', 'Comedy']"
The Shawshank Redemption,8205,8.5,136.747729,"['Drama', 'Crime']"
The Prisoner of Zenda,11,8.4,4.021389,"['Adventure', 'Drama', 'Romance']"
The Godfather,5893,8.4,143.659698,"['Drama', 'Crime']"
Spirited Away,3840,8.3,118.968562,"['Fantasy', 'Adventure', 'Animation', 'Family']"
Whiplash,4254,8.3,192.528841,['Drama']
The Godfather: Part II,3338,8.3,105.792936,"['Drama', 'Crime']"
Pulp Fiction,8428,8.3,121.463076,"['Thriller', 'Crime']"
Fight Club,9413,8.3,146.757391,['Drama']
Counting,3,8.3,0.293587,['Documentary']
Schindler's List,4329,8.3,104.469351,"['Drama', 'History', 'War']"
The Empire Strikes Back,5879,8.2,78.51783,"['Adventure', 'Action', 'Science Fiction']"
The Dark Knight,12002,8.2,187.322927,"['Drama', 'Action', 'Crime', 'Thriller']"
One Flew Over the Cuckoo's Nest,2919,8.2,127.525581,['Drama']
The Visual Bible: The Gospel of John,12,8.2,3.208172,"['Drama', 'History']"
Howl's Moving Castle,1991,8.2,49.549984,"['Fantasy', 'Animation', 'Adventure']"
Once Upon a Time in America,1069,8.2,49.336397,"['Drama', 'Crime']"
Anne of Green Gables,68,8.2,8.772574,"['Drama', 'Family']"
GoodFellas,3128,8.2,63.654244,"['Drama', 'Crime']"
Psycho,2320,8.2,93.067866,"['Drama', 'Horror', 'Thriller']"
Forrest Gump,7927,8.2,138.133331,"['Comedy', 'Drama', 'Romance']"
Seven Samurai,878,8.2,39.756748,"['Action', 'Drama']"
The Green Mile,4048,8.2,103.698022,"['Fantasy', 'Drama', 'Crime']"
American History X,3016,8.2,73.567232,['Drama']
12 Angry Men,2078,8.2,59.259204,['Drama']
Princess Mononoke,1983,8.2,60.732738,"['Adventure', 'Fantasy', 'Animation']"
Once Upon a Time in the West,1128,8.1,49.333137,['Western']
Dead Poets Society,2705,8.1,55.458584,['Drama']
Inception,13752,8.1,167.58371,"['Action', 'Thriller', 'Science Fiction', 'Mystery', 'Adventure']"
The Lord of the Rings: The Return of the King,8064,8.1,123.630332,"['Adventure', 'Fantasy', 'Action']"
Interstellar,10867,8.1,724.247784,"['Adventure', 'Drama', 'Science Fiction']"
Love Jones,12,8.1,1.000178,"['Comedy', 'Drama', 'Romance']"
Modern Times,856,8.1,28.27648,"['Drama', 'Comedy']"
City of God,1814,8.1,44.356711,"['Drama', 'Crime']"
Memento,4028,8.1,60.715151,"['Mystery', 'Thriller']"
The Shining,3757,8.1,78.699993,"['Horror', 'Thriller']"
The Apartment,483,8.1,22.889294,"['Comedy', 'Drama', 'Romance']"
"The Good, the Bad and the Ugly",2311,8.1,88.377076,['Western']
The Usual Suspects,3254,8.1,64.025031,"['Drama', 'Crime', 'Thriller']"
